Date;1;2;3;4;5;6;C
04/02/1978;6;17;30;31;35;37;15
11/02/1978;1;5;8;17;23;28;14
18/02/1978;3;5;6;8;17;18;10
25/02/1978;2;6;8;17;28;35;16
04/03/1978;8;10;18;25;32;33;34
11/03/1978;3;5;17;23;25;31;38
18/03/1978;5;9;10;24;28;31;6
25/03/1978;2;5;10;18;22;32;30
01/04/1978;3;9;17;21;28;39;4
08/04/1978;6;9;10;11;32;39;4
15/04/1978;3;11;20;28;33;35;26
22/04/1978;3;17;19;24;37;38;6
29/04/1978;12;16;24;27;34;38;18
06/05/1978;3;8;15;19;36;40;14
13/05/1978;20;24;28;30;32;39;16
20/05/1978;18;26;27;36;37;38;1
27/05/1978;6;12;20;25;30;35;2
03/06/1978;4;5;9;10;13;30;15
10/06/1978;4;16;18;22;26;35;37
17/06/1978;7;13;23;29;34;37;28
24/06/1978;6;19;23;26;28;37;10
01/07/1978;2;7;12;27;36;39;24
08/07/1978;5;7;10;19;22;31;27
15/07/1978;11;13;16;19;22;34;24
22/07/1978;2;12;23;36;38;40;17
29/07/1978;8;13;22;26;34;38;11
05/08/1978;8;15;20;26;35;39;33
12/08/1978;16;22;26;27;29;35;17
19/08/1978;5;18;20;22;36;40;4
26/08/1978;10;14;16;25;30;35;3
02/09/1978;5;18;19;24;32;35;40
09/09/1978;10;13;16;22;31;37;7
16/09/1978;11;12;16;17;19;23;18
23/09/1978;9;24;26;27;37;38;7
30/09/1978;7;13;15;16;29;40;2
07/10/1978;7;17;24;30;31;35;39
14/10/1978;1;17;21;22;38;40;5
21/10/1978;10;16;19;28;36;39;7
28/10/1978;10;15;29;32;36;37;4
04/11/1978;2;12;17;26;27;32;30
11/11/1978;11;12;23;29;33;39;10
18/11/1978;3;5;11;29;31;38;8
25/11/1978;5;7;9;25;32;38;13
02/12/1978;1;7;13;17;26;37;28
09/12/1978;5;7;14;27;39;40;35
16/12/1978;1;7;10;27;37;38;2
23/12/1978;5;10;14;18;26;29;12
30/12/1978;7;16;20;25;30;36;1
06/01/1979;1;15;20;28;31;33;9
13/01/1979;1;23;24;33;34;40;31
20/01/1979;1;3;5;26;28;35;36
27/01/1979;1;2;7;16;19;36;38
03/02/1979;2;3;7;12;27;37;32
10/02/1979;7;9;25;26;30;32;31
17/02/1979;1;3;4;28;33;40;10
24/02/1979;3;13;22;30;32;33;25
03/03/1979;14;19;26;27;36;37;16
10/03/1979;9;11;17;23;35;36;2
17/03/1979;13;16;17;19;20;28;11
24/03/1979;1;6;16;26;32;38;34
31/03/1979;2;7;8;29;32;36;27
07/04/1979;5;7;12;15;19;39;34
14/04/1979;7;14;23;31;34;37;18
21/04/1979;2;14;17;26;29;30;38
28/04/1979;1;2;10;13;35;37;30
05/05/1979;7;10;17;18;27;32;2
12/05/1979;7;15;18;25;27;39;20
